onset	duration	trial_type
0.0	0.1	action_jump
0.0	0.317	action_leftwalk
0.0	1.533	onscreen_powerup
0.0	7.883	onscreen_enemy
0.133	0.067	reward_enemykill_stomp
0.3	0.483	keypress_right
0.317	0.017	action_rest
0.333	7.533	action_rightwalk
1.533	0.983	reward_powerup_taken
1.65	2.3	keypress_right
8.633	0.317	keypress_right
10.583	5.517	keypress_right
10.683	0.017	action_rest
10.7	5.883	action_rightwalk
11.333	0.783	action_jump
11.333	0.367	keypress_jump
12.983	0.783	action_jump
12.983	0.45	keypress_jump
13.767	11.883	onscreen_enemy
14.05	0.733	action_jump
14.05	0.55	keypress_jump
16.467	0.017	reward_coin
16.567	0.517	keypress_left
16.583	0.117	action_rest
16.7	0.85	action_leftwalk
17.167	0.867	action_jump
17.167	0.583	keypress_jump
17.2	0.45	keypress_right
17.55	0.017	action_rightwalk
17.567	0.85	action_rest
18.4	0.683	keypress_left
18.417	2.633	action_leftwalk
18.667	0.383	keypress_jump
18.667	0.567	action_jump
19.783	0.083	keypress_jump
19.783	0.433	action_jump
20.4	0.317	keypress_left
21.033	0.083	keypress_right
21.05	0.017	action_rest
21.067	1.117	action_rightwalk
21.383	0.083	keypress_right
22.183	0.083	keypress_left
22.183	0.633	action_leftwalk
22.8	0.217	keypress_right
22.817	0.017	action_rest
22.833	10.4	action_rightwalk
23.183	2.767	keypress_right
23.517	0.817	action_jump
23.517	0.533	keypress_jump
24.417	0.683	action_jump
24.417	0.733	keypress_jump
25.683	7.567	onscreen_enemy
26.217	0.533	keypress_right
26.333	1.183	action_jump
26.333	0.2	keypress_jump
27.067	0.033	reward_coin
27.617	0.133	keypress_right
27.617	0.117	keypress_jump
27.617	0.583	action_jump
28.217	0.233	keypress_right
28.217	0.25	keypress_jump
28.217	5.033	action_jump
28.967	0.017	keypress_right
29.167	0.033	keypress_right
31.767	0.8	keypress_right
32.85	0.55	keypress_right
33.6	0.25	keypress_right
34.217	9.283	keypress_right
35.9	0.017	action_rest
35.917	10.85	action_rightwalk
36.9	0.333	keypress_jump
36.9	0.75	action_jump
38.25	0.317	keypress_jump
38.25	0.667	action_jump
38.983	15.65	onscreen_enemy
39.45	0.433	keypress_jump
39.45	0.65	action_jump
41.167	0.817	action_jump
41.167	0.483	keypress_jump
42.133	0.55	keypress_jump
42.133	0.65	action_jump
42.567	0.017	reward_coin
42.883	0.1	keypress_jump
42.883	0.867	action_jump
43.35	0.617	reward_enemykill_stomp
43.783	0.4	keypress_right
44.017	0.133	keypress_jump
44.017	1.1	action_jump
44.683	0.033	reward_coin
45.183	0.1	keypress_jump
45.183	0.533	action_jump
45.2	0.083	keypress_right
45.767	0.483	keypress_right
45.817	0.817	action_jump
45.817	0.467	keypress_jump
46.75	0.583	keypress_left
46.767	0.15	action_rest
46.917	7.717	action_leftwalk
47.583	0.1	keypress_left
47.867	0.083	keypress_left
48.217	0.117	keypress_left
48.667	0.133	keypress_jump
48.667	0.483	action_jump
49.3	0.333	keypress_left
49.75	0.067	keypress_jump
49.75	0.2	action_jump
49.817	2.8	onscreen_powerup
49.983	0.067	reward_enemykill_stomp
50.0	0.267	keypress_left
50.467	0.15	keypress_right
52.617	0.017	loss_powerup_miss
56.517	0.15	action_rest
56.65	3.4	keypress_right
56.667	3.383	action_rightwalk
58.867	0.883	action_jump
58.867	0.683	keypress_jump
59.733	0.317	onscreen_enemy
59.917	0.133	action_jump
59.917	0.133	keypress_jump
